cycle,IF,ID,EX,MEM,WB,stalls_pending
1,"add x1, x2, x3",,,,,0
2,"sub x4, x5, x6","add x1, x2, x3",,,,0
3,"mov x7, x8","sub x4, x5, x6","add x1, x2, x3",,,0
4,"add x9, x10, x11","mov x7, x8","sub x4, x5, x6","add x1, x2, x3",,0
5,"mov x12, x9","add x9, x10, x11","mov x7, x8","sub x4, x5, x6","add x1, x2, x3",0
6,"add x1, x1, x4","mov x12, x9","add x9, x10, x11","mov x7, x8","sub x4, x5, x6",2
7,"add x1, x1, x4","mov x12, x9",,"add x9, x10, x11","mov x7, x8",1
8,"add x1, x1, x4","mov x12, x9",,,"add x9, x10, x11",0
9,"sub x1, x1, x7","add x1, x1, x4","mov x12, x9",,,0
10,"add x1, x1, x12","sub x1, x1, x7","add x1, x1, x4","mov x12, x9",,2
11,"add x1, x1, x12","sub x1, x1, x7",,"add x1, x1, x4","mov x12, x9",1
12,"add x1, x1, x12","sub x1, x1, x7",,,"add x1, x1, x4",0
13,"mov x2, x1","add x1, x1, x12","sub x1, x1, x7",,,2
14,"mov x2, x1","add x1, x1, x12",,"sub x1, x1, x7",,1
15,"mov x2, x1","add x1, x1, x12",,,"sub x1, x1, x7",0
16,"add x3, x2, x1","mov x2, x1","add x1, x1, x12",,,2
17,"add x3, x2, x1","mov x2, x1",,"add x1, x1, x12",,1
18,"add x3, x2, x1","mov x2, x1",,,"add x1, x1, x12",0
19,"sub x4, x3, x2","add x3, x2, x1","mov x2, x1",,,2
20,"sub x4, x3, x2","add x3, x2, x1",,"mov x2, x1",,1
21,"sub x4, x3, x2","add x3, x2, x1",,,"mov x2, x1",0
22,"mov x5, x4","sub x4, x3, x2","add x3, x2, x1",,,2
23,"mov x5, x4","sub x4, x3, x2",,"add x3, x2, x1",,1
24,"mov x5, x4","sub x4, x3, x2",,,"add x3, x2, x1",0
25,"add x6, x5, x3","mov x5, x4","sub x4, x3, x2",,,2
26,"add x6, x5, x3","mov x5, x4",,"sub x4, x3, x2",,1
27,"add x6, x5, x3","mov x5, x4",,,"sub x4, x3, x2",0
28,"sub x7, x6, x5","add x6, x5, x3","mov x5, x4",,,2
29,"sub x7, x6, x5","add x6, x5, x3",,"mov x5, x4",,1
30,"sub x7, x6, x5","add x6, x5, x3",,,"mov x5, x4",0
31,"mov x8, x7","sub x7, x6, x5","add x6, x5, x3",,,2
32,"mov x8, x7","sub x7, x6, x5",,"add x6, x5, x3",,1
33,"mov x8, x7","sub x7, x6, x5",,,"add x6, x5, x3",0
34,"add x9, x9, x1","mov x8, x7","sub x7, x6, x5",,,2
